#{"t_start": 1587269478.2896154, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.000722,999,1212.798687
-0.000702,999,1214.065051
-0.000876,999,1215.354463
-0.000757,999,1216.571395
-0.000722,999,1217.866081
-0.000748,999,1219.128347
-0.000923,999,1220.402109
-0.001327,999,1221.681956
-0.001068,999,1223.005097
-0.001206,999,1224.223299
-0.000791,999,1225.521599
-0.000738,999,1226.810457
-0.000671,999,1228.126337
-0.000921,999,1229.406174
-0.000812,999,1230.646328
-0.000732,999,1231.932067
-0.000982,999,1233.213238
-0.001164,999,1234.503857
-0.00103,999,1235.827206
-0.001151,999,1237.053554
-0.001216,999,1238.378622
-0.000909,999,1239.669665
-0.000776,999,1240.977032
-0.000665,999,1242.271904
-0.000723,999,1243.522162
-0.000971,999,1244.821522
-0.000745,999,1246.140229
-0.000831,999,1247.45286
-0.000746,999,1248.759055
-0.000753,999,1250.058685
-0.00068,999,1251.475529
-0.000693,999,1252.734771
-0.000939,999,1253.984307
-0.000853,999,1255.237205
-0.000694,999,1256.412861
-0.000693,999,1257.65085
-0.000749,999,1258.891815
-0.00067,999,1260.128426
-0.000663,999,1261.371844
-0.000714,999,1262.564837
-0.000663,999,1263.803055
-0.000651,999,1265.049472
-0.000738,999,1266.297538
-0.000694,999,1267.533631
-0.000675,999,1268.723817
-0.000681,999,1269.974307
-0.000676,999,1271.228128
-0.000758,999,1272.46488
-0.000701,999,1273.762438
-0.000721,999,1274.94527
-0.000696,999,1276.201247
-0.000728,999,1277.457934
-0.000741,999,1278.739693
-0.000719,999,1279.984305
-0.000821,999,1281.218221
-0.000819,999,1282.415042
-0.000739,999,1283.669526
-0.000726,999,1284.919258
-0.000699,999,1286.162951
-0.000712,999,1287.412079
-0.000675,999,1288.590065
-0.000871,999,1289.837482
-0.001151,999,1291.09308
-0.001041,999,1292.325263
-0.000778,999,1293.57596
-0.000757,999,1294.745073
-0.000699,999,1295.991976
-0.000635,999,1297.248656
-0.000758,999,1298.530852
-0.000757,999,1299.778782
-0.000824,999,1300.950497
-0.001273,999,1302.191725
-0.000783,999,1303.432965
-0.000704,999,1304.708531
-0.000731,999,1305.964062
-0.0006,999,1307.138381
-0.000621,999,1308.423042
-0.000631,999,1309.660565
-0.000716,999,1310.904096
-0.000667,999,1312.151614
-0.000704,999,1313.355903
-0.00064,999,1314.618205
-0.000908,999,1315.872
-0.001223,999,1317.122476
-0.002351,999,1318.362932
-0.002572,999,1319.565577
-0.002453,999,1320.928188
-0.001306,999,1322.239588
-0.000774,999,1323.503302
-0.000746,999,1324.785083
-0.000715,999,1326.001625
-0.000667,999,1327.313241
-0.000639,999,1328.666328
-0.000682,999,1330.122874
-0.000668,999,1331.513168
-0.000676,999,1332.927347
-0.000702,999,1334.260468
-0.000737,999,1335.650933
-0.000675,999,1337.06284
-0.000663,999,1338.471227
-0.000683,999,1339.780685
-0.0007,999,1340.987072
-0.000695,999,1342.276518
-0.000671,999,1343.574735
-0.000973,999,1344.852855
-0.001039,999,1346.193279
-0.000817,999,1347.509472
-0.00077,999,1348.896977
-0.00069,999,1350.304839
-0.000718,999,1351.625621
-0.000814,999,1352.928778
-0.000882,999,1354.154014
-0.00087,999,1355.452413
-0.00091,999,1356.728632
-0.001727,999,1358.035857
-0.001363,999,1359.329919
-0.001246,999,1360.564137
-0.000826,999,1361.879138
-0.000721,999,1363.17895
-0.000689,999,1364.470011
-0.000658,999,1365.767201
-0.000779,999,1367.040024
-0.000914,999,1368.352285
-0.001071,999,1369.651276
-0.000995,999,1370.967074
-0.000804,999,1372.266291
-0.000691,999,1373.493052
-0.000643,999,1374.810998
-0.000677,999,1376.118185
-0.000609,999,1377.398209
-0.000671,999,1378.707487
-0.000597,999,1379.9924
-0.000687,999,1381.330869
-0.000675,999,1382.606312
-0.00079,999,1383.898901
-0.000733,999,1385.206727
-0.000686,999,1386.474733
-0.001132,999,1387.705561
-0.001178,999,1388.997078
-0.001034,999,1390.320183
-0.001506,999,1391.63697
-0.00151,999,1392.968617
-0.001251,999,1394.18744
-0.000764,999,1395.480269
-0.000676,999,1396.797806
-0.001092,999,1398.097813
-0.00098,999,1399.409781
-0.000974,999,1400.652916
-0.001193,999,1401.947167
-0.001224,999,1403.238993
-0.000867,999,1404.548709
-0.000984,999,1405.856697
-0.001056,999,1407.078464
-0.001264,999,1408.38819
-0.000931,999,1410.401234
-0.001052,999,1411.113125
-0.001061,999,1411.794107
-0.00098,999,1412.479871
-0.000949,999,1413.160092
-0.000965,999,1414.070518
-0.001023,999,1415.066215
-0.000983,999,1415.863889
-0.001063,999,1416.550819
-0.001038,999,1417.229205
-0.001007,999,4047.832832
-0.000939,999,4048.51984
-0.000988,999,4049.203591
-0.000986,999,4049.873354
